food_description,code,nutrient_amount,nutrient_name,nutrient_unit,food_category_id,food_category
"Egg whites, dried",100.0,0.61,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.63,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.8,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.82,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.68,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.79,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.8,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.73,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg whites, dried",100.0,0.6,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg, white, dried",100.0,6.02,"Carbohydrate, by difference",G,1.0,Dairy and Egg Products
"Egg, white, dried",100.0,79.9,Protein,G,1.0,Dairy and Egg Products
"Egg, white, dried",100.0,0.65,Total lipid (fat),G,1.0,Dairy and Egg Products
"Egg, white, dried",100.0,376.0,Energy,KCAL,1.0,Dairy and Egg Products
"Egg, white, dried",100.0,1570.0,Energy,kJ,1.0,Dairy and Egg Products
Salsa,600.0,0.3,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.1,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.1,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.3,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
Salsa,600.0,0.3,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVT",600.0,0.1,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CO,CT) - NFY090KVK",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (AL,CA1) - NFY090KUN",600.0,0.1,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU1",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CA2,NC) - NFY090KUZ",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (MI,OK) - NFY090KW5",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, PACE CHUNKY, MEDIUM (AL,CA1) - NFY090KXG",600.0,0.1,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, PACE CHUNKY, MEDIUM (IN,NY) - NFY090KWU",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, PACE CHUNKY, MEDIUM (CA2,NC) - NFY090KXS",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, PACE CHUNKY, MEDIUM (CO,CT) - NFY090KYD",600.0,0.1,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, PACE CHUNKY, MEDIUM (FL,MO) - NFY090KYM",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Proximates, Salsa, PACE CHUNKY, MEDIUM (MI,OK) - NFY090KYY",600.0,0.2,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Sauce, salsa, ready-to-serve",600.0,29.0,Energy,KCAL,6.0,"Soups, Sauces, and Gravies"
"Sauce, salsa, ready-to-serve",600.0,122.0,Energy,kJ,6.0,"Soups, Sauces, and Gravies"
"Sauce, salsa, ready-to-serve",600.0,0.19,Total lipid (fat),G,6.0,"Soups, Sauces, and Gravies"
"Sauce, salsa, ready-to-serve",600.0,6.74,"Carbohydrate, by difference",G,6.0,"Soups, Sauces, and Gravies"
"Sauce, salsa, ready-to-serve",600.0,1.44,Protein,G,6.0,"Soups, Sauces, and Gravies"
"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",700.0,29.7,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",700.0,25.4,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",700.0,28.2,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",700.0,28.5,Total lipid (fat),G,7.0,Sausages and Luncheon Meats
